File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF022RLX	bigWig	plus strand signal of unique reads	ENCSR257NIR	RNA-seq	UBERON:0001211	Peyer's patch	tissue	adult	male	54 year	Homo sapiens							RNA	rRNA	see document	see document		True	2016-05-03	ENCODE				1							ENCFF998TZQ	99194729	ENCODE Processing Pipeline	cf427f39b2d3385ed6e865d952a89a89		https://www.encodeproject.org/files/ENCFF022RLX/@@download/ENCFF022RLX.bigWig	hg19			released				
ENCFF196IHJ	bigWig	plus strand signal of all reads	ENCSR257NIR	RNA-seq	UBERON:0001211	Peyer's patch	tissue	adult	male	54 year	Homo sapiens							RNA	rRNA	see document	see document		True	2016-05-03	ENCODE				1							ENCFF998TZQ	105324532	ENCODE Processing Pipeline	d06102a06db84e92e5f26c21b06014d8		https://www.encodeproject.org/files/ENCFF196IHJ/@@download/ENCFF196IHJ.bigWig	hg19			released				
ENCFF388YZO	bigWig	minus strand signal of all reads	ENCSR257NIR	RNA-seq	UBERON:0001211	Peyer's patch	tissue	adult	male	54 year	Homo sapiens							RNA	rRNA	see document	see document		True	2016-05-03	ENCODE				1							ENCFF998TZQ	101076117	ENCODE Processing Pipeline	003595b38ce219c7510a15b73bf7b682		https://www.encodeproject.org/files/ENCFF388YZO/@@download/ENCFF388YZO.bigWig	hg19			released				
ENCFF336EQS	tsv	gene quantifications	ENCSR257NIR	RNA-seq	UBERON:0001211	Peyer's patch	tissue	adult	male	54 year	Homo sapiens							RNA	rRNA	see document	see document		True	2016-05-03	ENCODE				1							ENCFF826ONU, ENCFF860MYK	9490543	ENCODE Processing Pipeline	05fbf329e0855e84d0cde798aaaf193c		https://www.encodeproject.org/files/ENCFF336EQS/@@download/ENCFF336EQS.tsv	hg19			released				
ENCFF754HIL	tsv	transcript quantifications	ENCSR257NIR	RNA-seq	UBERON:0001211	Peyer's patch	tissue	adult	male	54 year	Homo sapiens							RNA	rRNA	see document	see document		True	2016-05-03	ENCODE				1							ENCFF826ONU, ENCFF860MYK	26178417	ENCODE Processing Pipeline	7d1f7bec646db46b799effe6cdd9b70d		https://www.encodeproject.org/files/ENCFF754HIL/@@download/ENCFF754HIL.tsv	hg19			released				
ENCFF547LGQ	fastq	reads	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1	1	87		single-ended				731380789	Zhiping Weng, UMass	0b945c472b84f60d593f7806a16babb8	SRA:SRR020293	https://www.encodeproject.org/files/ENCFF547LGQ/@@download/ENCFF547LGQ.fastq.gz		Illumina Genome Analyzer II		released		NTR biosample	missing spikeins, insufficient read length	
ENCFF094HAH	fastq	reads	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1	1	87		single-ended				738445063	Zhiping Weng, UMass	e56bbc0918b22afc9bb43d78e3824a4f	SRA:SRR020295	https://www.encodeproject.org/files/ENCFF094HAH/@@download/ENCFF094HAH.fastq.gz		Illumina Genome Analyzer II		released		NTR biosample	missing spikeins, insufficient read length	
ENCFF105OLM	fastq	reads	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1	1	43		single-ended				198480701	Zhiping Weng, UMass	edf86dc16f72b63f8042cbbcbfd1cad4	SRA:SRR020292	https://www.encodeproject.org/files/ENCFF105OLM/@@download/ENCFF105OLM.fastq.gz		Illumina Genome Analyzer II		released		NTR biosample	missing spikeins, insufficient read length	
ENCFF381KYM	fastq	reads	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1	1	87		single-ended				741613503	Zhiping Weng, UMass	014d63006efbe1e5025c41edc79c9307	SRA:SRR020294	https://www.encodeproject.org/files/ENCFF381KYM/@@download/ENCFF381KYM.fastq.gz		Illumina Genome Analyzer II		released		NTR biosample	missing spikeins, insufficient read length	
ENCFF066EQH	bam	alignments	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF094HAH, ENCFF105OLM, ENCFF381KYM, ENCFF547LGQ, ENCFF839KAI	2585624704	ENCODE Processing Pipeline	347c53b5d7cf9ed2721579b86f6c8281		https://www.encodeproject.org/files/ENCFF066EQH/@@download/ENCFF066EQH.bam	hg19			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF457IFG	bam	transcriptome alignments	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF094HAH, ENCFF105OLM, ENCFF381KYM, ENCFF547LGQ, ENCFF839KAI	2771679410	ENCODE Processing Pipeline	38089cd4ce04ae2f52761f34562e929d		https://www.encodeproject.org/files/ENCFF457IFG/@@download/ENCFF457IFG.bam	hg19			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF904KQE	bigWig	signal of unique reads	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF066EQH	48552614	ENCODE Processing Pipeline	e7cfee145889763ca6e08da7d3f22622		https://www.encodeproject.org/files/ENCFF904KQE/@@download/ENCFF904KQE.bigWig	hg19			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF057STQ	bigWig	signal of all reads	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF066EQH	62130048	ENCODE Processing Pipeline	513131ea9ad75fbd916280cca57c2618		https://www.encodeproject.org/files/ENCFF057STQ/@@download/ENCFF057STQ.bigWig	hg19			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF807MED	tsv	gene quantifications	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF457IFG, ENCFF826ONU	9779774	ENCODE Processing Pipeline	58e0b5ab980042f4ebf4a7eb03008697		https://www.encodeproject.org/files/ENCFF807MED/@@download/ENCFF807MED.tsv	hg19			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF551YFL	tsv	transcript quantifications	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF457IFG, ENCFF826ONU	26487577	ENCODE Processing Pipeline	413e3d7fed814bd7517379fccc0d5fc2		https://www.encodeproject.org/files/ENCFF551YFL/@@download/ENCFF551YFL.tsv	hg19			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF351EEL	bigWig	signal of unique reads	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF462XZQ	48260790	ENCODE Processing Pipeline	b3ae4eb1347ddd105635a076f3895258		https://www.encodeproject.org/files/ENCFF351EEL/@@download/ENCFF351EEL.bigWig	GRCh38			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF462XZQ	bam	alignments	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF094HAH, ENCFF105OLM, ENCFF381KYM, ENCFF547LGQ, ENCFF742NER	7469166334	ENCODE Processing Pipeline	ffac6a0e415d8af5f0276ac1ebcfa28b		https://www.encodeproject.org/files/ENCFF462XZQ/@@download/ENCFF462XZQ.bam	GRCh38			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF277MTT	bam	transcriptome alignments	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF094HAH, ENCFF105OLM, ENCFF381KYM, ENCFF547LGQ, ENCFF742NER	2381291240	ENCODE Processing Pipeline	6503582058b1e30488c6455adeab89c7		https://www.encodeproject.org/files/ENCFF277MTT/@@download/ENCFF277MTT.bam	GRCh38			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF516KYF	bigWig	signal of all reads	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF462XZQ	63039033	ENCODE Processing Pipeline	a7d33972a963b5a1e95455f0968a1c68		https://www.encodeproject.org/files/ENCFF516KYF/@@download/ENCFF516KYF.bigWig	GRCh38			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF967DAY	tsv	gene quantifications	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF277MTT, ENCFF940AZB	10175231	ENCODE Processing Pipeline	91925b6609b69be0b0651118cc153995		https://www.encodeproject.org/files/ENCFF967DAY/@@download/ENCFF967DAY.tsv	GRCh38			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF143RQI	tsv	transcript quantifications	ENCSR424FAZ	RNA-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens							RNA	rRNA	see document			True	2013-07-31	Roadmap				1							ENCFF277MTT, ENCFF940AZB	26913391	ENCODE Processing Pipeline	19f7fa57291f817bee4ac0ec1d729ffc		https://www.encodeproject.org/files/ENCFF143RQI/@@download/ENCFF143RQI.tsv	GRCh38			released		NTR biosample	missing spikeins, insufficient read length	
ENCFF740UPF	fastq	reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2	1	50		paired-ended	2	ENCFF196RCZ		781795241	Eric Lécuyer, IRCM	9b44ba419ef3c64082b129a6a2d0e49a	SRA:SRR4422395	https://www.encodeproject.org/files/ENCFF740UPF/@@download/ENCFF740UPF.fastq.gz		HiSeq 2000		released	low read depth		missing documents	
ENCFF268FHH	fastq	reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1	1	50		paired-ended	1	ENCFF888RBV		711197867	Eric Lécuyer, IRCM	d3562cc7c765be42cf3fa0fabaf896ac	SRA:SRR4422394	https://www.encodeproject.org/files/ENCFF268FHH/@@download/ENCFF268FHH.fastq.gz		HiSeq 2000		released	low read depth		missing documents	
ENCFF196RCZ	fastq	reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2	1	50		paired-ended	1	ENCFF740UPF		752706481	Eric Lécuyer, IRCM	1014f1ddb1898ecc0736f5b35c052b92	SRA:SRR4422395	https://www.encodeproject.org/files/ENCFF196RCZ/@@download/ENCFF196RCZ.fastq.gz		HiSeq 2000		released	low read depth		missing documents	
ENCFF888RBV	fastq	reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1	1	50		paired-ended	2	ENCFF268FHH		737021357	Eric Lécuyer, IRCM	f14e154086713377ab24e8e176da76b8	SRA:SRR4422394	https://www.encodeproject.org/files/ENCFF888RBV/@@download/ENCFF888RBV.fastq.gz		HiSeq 2000		released	low read depth		missing documents	
ENCFF099RMZ	bam	alignments	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF268FHH, ENCFF742NER, ENCFF888RBV	3047037619	ENCODE Processing Pipeline	7eb72cb84e6ff021bd6f01ba7297ee5c		https://www.encodeproject.org/files/ENCFF099RMZ/@@download/ENCFF099RMZ.bam	GRCh38			released	low read depth		missing documents	
ENCFF530BLH	bam	transcriptome alignments	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF268FHH, ENCFF742NER, ENCFF888RBV	3565011146	ENCODE Processing Pipeline	388965e9500582f7df9a256d615abe31		https://www.encodeproject.org/files/ENCFF530BLH/@@download/ENCFF530BLH.bam	GRCh38			released	low read depth		missing documents	
ENCFF836LBM	bam	alignments	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF196RCZ, ENCFF740UPF, ENCFF742NER	3348131774	ENCODE Processing Pipeline	79c65df480670b1b0f0ef249affaa6c3		https://www.encodeproject.org/files/ENCFF836LBM/@@download/ENCFF836LBM.bam	GRCh38			released	low read depth		missing documents	
ENCFF345DQJ	bigWig	plus strand signal of unique reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF099RMZ	43965406	ENCODE Processing Pipeline	10e316eb7585de19b9aa10b36b92037f		https://www.encodeproject.org/files/ENCFF345DQJ/@@download/ENCFF345DQJ.bigWig	GRCh38			released	low read depth		missing documents	
ENCFF735TSG	bam	transcriptome alignments	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF196RCZ, ENCFF740UPF, ENCFF742NER	3866387510	ENCODE Processing Pipeline	82cac2acf62e9bac92b225b878f86887		https://www.encodeproject.org/files/ENCFF735TSG/@@download/ENCFF735TSG.bam	GRCh38			released	low read depth		missing documents	
ENCFF488WLI	bigWig	minus strand signal of all reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF099RMZ	50956396	ENCODE Processing Pipeline	e6fcf334e2abf4350d2be4fc76829abd		https://www.encodeproject.org/files/ENCFF488WLI/@@download/ENCFF488WLI.bigWig	GRCh38			released	low read depth		missing documents	
ENCFF717UCH	bigWig	minus strand signal of unique reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF099RMZ	43204142	ENCODE Processing Pipeline	9e43afb3e489eb5701d8528302e563e1		https://www.encodeproject.org/files/ENCFF717UCH/@@download/ENCFF717UCH.bigWig	GRCh38			released	low read depth		missing documents	
ENCFF881NRW	bigWig	plus strand signal of all reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF099RMZ	51246558	ENCODE Processing Pipeline	8887589c7b23e31ae3119e5c7010a05e		https://www.encodeproject.org/files/ENCFF881NRW/@@download/ENCFF881NRW.bigWig	GRCh38			released	low read depth		missing documents	
ENCFF826ZIK	bigWig	plus strand signal of unique reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF836LBM	48931590	ENCODE Processing Pipeline	be703de7fb3ae03594a6d3786b90ecb9		https://www.encodeproject.org/files/ENCFF826ZIK/@@download/ENCFF826ZIK.bigWig	GRCh38			released	low read depth		missing documents	
ENCFF909MXJ	bigWig	minus strand signal of unique reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF836LBM	48099743	ENCODE Processing Pipeline	309a45f34f5e6f844fd22c5f9d8a20a1		https://www.encodeproject.org/files/ENCFF909MXJ/@@download/ENCFF909MXJ.bigWig	GRCh38			released	low read depth		missing documents	
ENCFF478VUJ	bigWig	plus strand signal of all reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF836LBM	56740087	ENCODE Processing Pipeline	ccaae1fee17a292e41a8030f978a8f55		https://www.encodeproject.org/files/ENCFF478VUJ/@@download/ENCFF478VUJ.bigWig	GRCh38			released	low read depth		missing documents	
ENCFF116LWJ	bigWig	minus strand signal of all reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF836LBM	56373633	ENCODE Processing Pipeline	b692de6856f308071aecfd437095cda3		https://www.encodeproject.org/files/ENCFF116LWJ/@@download/ENCFF116LWJ.bigWig	GRCh38			released	low read depth		missing documents	
ENCFF313MTN	tsv	transcript quantifications	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF530BLH, ENCFF940AZB	26834597	ENCODE Processing Pipeline	4988526222cf3e74845f640674d14f41		https://www.encodeproject.org/files/ENCFF313MTN/@@download/ENCFF313MTN.tsv	GRCh38			released	low read depth		missing documents	
ENCFF280JUP	tsv	gene quantifications	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF530BLH, ENCFF940AZB	9963805	ENCODE Processing Pipeline	1ecae2e18bacd5c8de99551545ebd6ad		https://www.encodeproject.org/files/ENCFF280JUP/@@download/ENCFF280JUP.tsv	GRCh38			released	low read depth		missing documents	
ENCFF041HNZ	tsv	gene quantifications	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF735TSG, ENCFF940AZB	9964360	ENCODE Processing Pipeline	bca7d9ff785d19a5c6a4865e682fd5d3		https://www.encodeproject.org/files/ENCFF041HNZ/@@download/ENCFF041HNZ.tsv	GRCh38			released	low read depth		missing documents	
ENCFF613GEG	tsv	transcript quantifications	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF735TSG, ENCFF940AZB	26826175	ENCODE Processing Pipeline	a920b6b0e37ce0bb287b8bd85548e8bd		https://www.encodeproject.org/files/ENCFF613GEG/@@download/ENCFF613GEG.tsv	GRCh38			released	low read depth		missing documents	
ENCFF772RSM	bam	alignments	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF069ZCO, ENCFF268FHH, ENCFF888RBV	2835064064	ENCODE Processing Pipeline	01b1780ed3190232f0793cfffe313ec3		https://www.encodeproject.org/files/ENCFF772RSM/@@download/ENCFF772RSM.bam	hg19			released	low read depth		missing documents	
ENCFF258SGT	bam	transcriptome alignments	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF069ZCO, ENCFF268FHH, ENCFF888RBV	3531965037	ENCODE Processing Pipeline	42210e6171981ada4cdb7741e430e1db		https://www.encodeproject.org/files/ENCFF258SGT/@@download/ENCFF258SGT.bam	hg19			released	low read depth		missing documents	
ENCFF898OEJ	bam	alignments	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF069ZCO, ENCFF196RCZ, ENCFF740UPF	3016422922	ENCODE Processing Pipeline	7e6bb48aec2179e703994df33751baea		https://www.encodeproject.org/files/ENCFF898OEJ/@@download/ENCFF898OEJ.bam	hg19			released	low read depth		missing documents	
ENCFF315XGD	bam	transcriptome alignments	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF069ZCO, ENCFF196RCZ, ENCFF740UPF	3838787212	ENCODE Processing Pipeline	66cb7d649e8258d9c79148e2a2d650cf		https://www.encodeproject.org/files/ENCFF315XGD/@@download/ENCFF315XGD.bam	hg19			released	low read depth		missing documents	
ENCFF184KVX	bigWig	minus strand signal of unique reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF772RSM	43500679	ENCODE Processing Pipeline	e597799b0d980b47086e1fd0a5a033e9		https://www.encodeproject.org/files/ENCFF184KVX/@@download/ENCFF184KVX.bigWig	hg19			released	low read depth		missing documents	
ENCFF590EOI	bigWig	plus strand signal of unique reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF772RSM	44340238	ENCODE Processing Pipeline	c11b9f2a4e2ecff21d3b2a5d7abc5fe9		https://www.encodeproject.org/files/ENCFF590EOI/@@download/ENCFF590EOI.bigWig	hg19			released	low read depth		missing documents	
ENCFF508SLC	bigWig	minus strand signal of all reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF772RSM	50171826	ENCODE Processing Pipeline	7b9c8e828faed961b9ab9f7fca3bcc53		https://www.encodeproject.org/files/ENCFF508SLC/@@download/ENCFF508SLC.bigWig	hg19			released	low read depth		missing documents	
ENCFF997OCK	bigWig	plus strand signal of all reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF772RSM	50557794	ENCODE Processing Pipeline	a3c7af106bb2eac259368dbcdc0fa7f2		https://www.encodeproject.org/files/ENCFF997OCK/@@download/ENCFF997OCK.bigWig	hg19			released	low read depth		missing documents	
ENCFF142ODS	bigWig	minus strand signal of unique reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF898OEJ	48046327	ENCODE Processing Pipeline	fb2ce84c8e132559079465f052881e48		https://www.encodeproject.org/files/ENCFF142ODS/@@download/ENCFF142ODS.bigWig	hg19			released	low read depth		missing documents	
ENCFF197XPG	bigWig	plus strand signal of unique reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF898OEJ	48974820	ENCODE Processing Pipeline	f0a8f8ab4539f91b2fa764807f3ec33b		https://www.encodeproject.org/files/ENCFF197XPG/@@download/ENCFF197XPG.bigWig	hg19			released	low read depth		missing documents	
ENCFF937RFW	bigWig	plus strand signal of all reads	ENCSR862HPO	RNA-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens		cytosol					RNA	rRNA	Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF898OEJ	55383363	ENCODE Processing Pipeline	9c629b902a2868f5ab4ac3416d693d7e		https://www.encodeproject.org/files/ENCFF937RFW/@@download/ENCFF937RFW.bigWig	hg19			released	low read depth		missing documents	
